index,name,name2,pos,sum,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
8473541,Jonathan Bernier,"Bernier, Jonathan",G,0,510:06,1.0,0.0,0.0,4.0,4.0,238.0,36.0,10.0,192.0,11.0,209.0,44.0,0.902,3.0582,10,8.0,264.0,26.0,51:00,81.81818181818183,90.9090909090909,91.86602870813397,,,,,,,,,,,,,,,,,,,,,,,,
8474090,Brendan Smith,"Smith, Brendan",D,221,626:19,,,,,,,,,,,,,,,45,,,,13:55,,,,4.0,4.0,36.0,63.0,73.0,0.0,0.0,00:39,577:40,36,0.0,6.3,1.0,0.0,0.0,0.0,48:00,40.0,6.0,8.0,855.0,12:50,01:04,00:00
8475193,Tomas Tatar,"Tatar, Tomas",LW,293,1127:15,,,,,,,,,,,,,,,76,,,,14:49,,,,15.0,15.0,22.0,132.0,75.0,2.0,5.0,141:43,985:05,22,38.0,11.4,1.0,0.0,0.0,0.0,00:27,28.0,-22.0,30.0,1613.0,12:57,00:00,01:51
8475287,Erik Haula,"Haula, Erik",LW,404,1177:17,,,,,,,,,,,,,,,78,,,,15:05,,,,26.0,18.0,47.0,141.0,129.0,2.0,4.0,74:25,1044:33,47,53.84,12.8,3.0,0.0,0.0,0.0,58:19,36.0,19.0,44.0,1522.0,13:23,00:44,00:57
8476292,Ondrej Palat,"Palat, Ondrej",LW,389,1270:15,,,,,,,,,,,,,,,77,,,,16:29,,,,31.0,18.0,20.0,143.0,124.0,1.0,6.0,161:54,1084:08,20,11.11,12.6,5.0,2.0,0.0,1.0,24:13,42.0,15.0,49.0,1624.0,14:04,00:18,02:06
8470610,Zach Parise,"Parise, Zach",LW,329,1253:18,,,,,,,,,,,,,,,82,,,,15:17,,,,20.0,15.0,28.0,138.0,60.0,2.0,7.0,130:20,999:09,28,37.33,10.9,4.0,0.0,2.0,2.0,123:49,57.0,-2.0,35.0,1720.0,12:11,01:30,01:35
8473504,Cal Clutterbuck,"Clutterbuck, Cal",RW,352,828:28,,,,,,,,,,,,,,,59,,,,14:02,,,,9.0,6.0,10.0,74.0,229.0,0.0,0.0,05:02,704:58,10,73.33,8.1,1.0,0.0,1.0,1.0,118:28,23.0,-6.0,15.0,1253.0,11:56,02:00,00:05
8473575,Semyon Varlamov,"Varlamov, Semyon",G,0,1792:17,2.0,2.0,0.0,10.0,17.0,891.0,108.0,24.0,759.0,26.0,833.0,119.0,0.911,2.9125,31,29.0,978.0,87.0,57:48,90.75630252100841,92.3076923076923,91.11644657863145,,,,,,,,,,,,,,,,,,,,,,,,
8474573,Josh Bailey,"Bailey, Josh",RW,194,1249:50,,,,,,,,,,,,,,,74,,,,16:53,,,,30.0,14.0,6.0,87.0,19.0,2.0,11.0,114:23,1054:53,6,39.09,16.1,1.0,0.0,0.0,0.0,80:34,26.0,-7.0,44.0,1600.0,14:15,01:05,01:32
8474709,Matt Martin,"Martin, Matt",LW,404,812:13,,,,,,,,,,,,,,,71,,,,11:26,,,,4.0,3.0,70.0,66.0,235.0,0.0,0.0,06:02,804:39,70,42.1,4.5,0.0,0.0,0.0,0.0,01:32,26.0,-2.0,7.0,1152.0,11:19,00:01,00:05
